(300000.0,1096.8000506310548)
(600000.0,1096.8000506310548)
(900000.0,1096.8000506310548)
(1200000.0,1096.8000506310548)
(1500000.0,1097.9569733800179)
(1800000.0,1101.425943184846)
(2100000.0,1101.425943184846)
(2400000.0,1104.2962938702115)
(2700000.0,1107.8318837995184)
(3000000.0,1110.6738533856173)
(3300000.0,1118.3303091813953)
(3600000.0,1132.0569152736928)
(3900000.0,1141.1860220374076)
(4200000.0,1149.4884601214508)
(4500000.0,1156.5151818739755)
(4800000.0,1162.4258485635944)
(5100000.0,1169.3523115266003)
(5400000.0,1175.5161903449398)
(5700000.0,1186.0213731308024)
(6000000.0,1193.1131699286907)
(6300000.0,1201.8184678271325)
(6600000.0,1211.5309443478855)
(6900000.0,1222.46208339119)
(7200000.0,1231.1758893200642)
(7500000.0,1236.985391711732)
(7800000.0,1243.604398525773)
(8100000.0,1250.7570521836903)
(8400000.0,1258.2800107784415)
(8700000.0,1263.9660358357894)
(9000000.0,1275.845367785402)
(9300000.0,1281.5263271577144)
(9600000.0,1287.3900062823145)
(9900000.0,1293.4922704256035)
(10200000.0,1300.5574943306444)
(10500000.0,1312.8538320137868)
(10800000.0,1323.2826331738452)
(11100000.0,1333.6369464377567)
(11400000.0,1345.9517593931942)
(11700000.0,1351.066030925905)
(12000000.0,1359.0320550757667)
(12300000.0,1367.570842718775)
(12600000.0,1374.779774745639)
(12900000.0,1383.6370324735863)
(13200000.0,1388.5487577048516)
(13500000.0,1396.8783806058257)
(13800000.0,1408.522356912362)
(14100000.0,1418.436453816618)
(14400000.0,1423.0086236788995)
(14700000.0,1433.0915532345853)
(15000000.0,1441.6165422241306)
(15300000.0,1448.50271629372)
(15600000.0,1458.6453654415554)
(15900000.0,1468.568101636194)
(16200000.0,1479.9614378635647)
(16500000.0,1487.3304399730216)
(16800000.0,1494.6490682615447)
(17100000.0,1502.779690996518)
(17400000.0,1513.0733985757702)
(17700000.0,1523.7104403562873)
(18000000.0,1535.2516230380515)
(18300000.0,1541.6962057671633)
(18600000.0,1552.6172129207112)
(18900000.0,1561.6751052895102)
(19200000.0,1572.0417470851985)
(19500000.0,1586.288596265013)
(19800000.0,1597.9585007050184)
(20100000.0,1606.8304822905668)
(20400000.0,1616.7434648172073)
(20700000.0,1626.499386665602)
(21000000.0,1637.1700519224585)
(21300000.0,1644.3588683179958)
(21600000.0,1650.4975939940293)
(21900000.0,1658.8062691411285)
(22200000.0,1666.1325257451986)
(22500000.0,1672.812069056315)
(22800000.0,1679.778685659085)
