(0.3,2048.49836100119)
(0.6,2048.49836100119)
(0.9,2048.49836100119)
(1.2,2048.49836100119)
(1.5,2048.553660161446)
(1.8,2048.7198121798347)
(2.1,2048.7198121798347)
(2.4,2048.8576783820777)
(2.7,2049.027977165796)
(3.0,2049.1652506816663)
(3.3,2049.536778654966)
(3.6,2050.2090780111466)
(3.9,2050.660619200745)
(4.2,2051.0743335994075)
(4.5,2051.4267557901667)
(4.8,2051.724818619901)
(5.1,2052.075983989248)
(5.4,2052.3901904495187)
(5.7,2052.929391471734)
(6.0,2053.2960246007665)
(6.3,2053.7489706793067)
(6.6,2054.2580883980195)
(6.9,2054.8358356471786)
(7.2,2055.2999889015296)
(7.5,2055.6112132599324)
(7.8,2055.967531762062)
(8.1,2056.354645565039)
(8.4,2056.7641170890756)
(8.7,2057.0751799077934)
(9.0,2057.7294295226047)
(9.3,2058.0443952092264)
(9.6,2058.3709079848786)
(9.9,2058.7122335098234)
(10.2,2059.109366450841)
(10.5,2059.805511821813)
(10.8,2060.4008757401753)
(11.1,2060.996475382234)
(11.4,2061.7106635971895)
(11.7,2062.0091177689364)
(12.0,2062.476159918737)
(12.3,2062.9797131243)
(12.6,2063.4072003772126)
(12.9,2063.9353875618935)
(13.2,2064.2296931763453)
(13.5,2064.731083088808)
(13.8,2065.436795444879)
(14.1,2066.04208936145)
(14.4,2066.3226082994847)
(14.7,2066.944286910676)
(15.0,2067.4731855596597)
(15.3,2067.902601326439)
(15.6,2068.5386508071892)
(15.9,2069.165013182276)
(16.2,2069.889206457728)
(16.5,2070.3604458915856)
(16.8,2070.830673665376)
(17.1,2071.355653057269)
(17.4,2072.024191624051)
(17.7,2072.719594146713)
(18.0,2073.479348987817)
(18.3,2073.905967558405)
(18.6,2074.6327945487265)
(18.9,2075.23932278383)
(19.2,2075.9375966829202)
(19.5,2076.9043822980416)
(19.8,2077.7024566169553)
(20.1,2078.312895422448)
(20.4,2078.998744569415)
(20.7,2079.6776227711557)
(21.0,2080.4245750685955)
(21.3,2080.9303974832505)
(21.6,2081.3639893617083)
(21.9,2081.9532780762975)
(22.2,2082.475204854112)
(22.5,2082.9529491836342)
(22.8,2083.4531450080617)
(23.1,2084.246088098568)
(23.4,2085.1689878498814)
(23.7,2085.83767070445)
(24.0,2086.443650410093)
(24.3,2087.133429781082)
(24.6,2087.6295058767964)
(24.9,2088.398871408493)
(25.2,2089.174136521551)
(25.5,2089.639388919377)
(25.8,2090.191148771671)
(26.1,2090.5412780425363)
(26.4,2091.052827469074)
(26.7,2091.53494987987)
(27.0,2092.0175003050767)
(27.3,2092.5102475515496)
(27.6,2093.111818644489)
(27.9,2093.8463576373338)
(28.2,2094.257907235065)
(28.5,2094.768077649646)
(28.8,2095.0941657778744)
(29.1,2095.599164367181)
(29.4,2096.004868560174)
(29.7,2096.7032740024833)
(30.0,2096.9967111588758)
(30.3,2097.3804375734626)
(30.6,2097.997873602462)
(30.9,2098.53673401738)
(31.2,2098.8834706050266)
(31.5,2099.4084158604924)
(31.8,2099.896127545858)
(32.1,2100.148523034802)
(32.4,2100.4829195371635)
(32.7,2101.0229995809955)
(33.0,2101.219816655617)
(33.3,2101.525344279044)
(33.6,2101.9773453774656)
(33.9,2102.5746938253938)
(34.2,2103.144229662128)
(34.5,2103.5163342453775)
(34.8,2103.6927827508252)
(35.1,2104.1855039219317)
(35.4,2104.494275315214)
(35.7,2104.6962113634117)
(36.0,2104.981679624331)
(36.3,2105.089335663558)
(36.6,2105.3663765085)
(36.9,2105.712235028915)
(37.2,2105.788262002378)
(37.5,2105.992354797727)
(37.8,2106.3419955724057)
(38.1,2106.6674460341483)
(38.4,2107.0247522139953)
(38.7,2107.528423657312)
(39.0,2107.78124815001)
(39.3,2108.1985990989924)
(39.6,2108.222523810003)
(39.9,2108.548589493938)
(40.2,2109.013804781746)
(40.5,2109.196302228161)
(40.8,2109.3087575441164)
(41.1,2109.606999490109)
(41.4,2110.0253347215507)
(41.7,2110.3637757817155)
(42.0,2110.588910813415)
(42.3,2110.7841321225087)
(42.6,2110.9236003654746)
(42.9,2111.0380472609672)
(43.2,2111.19769264039)
(43.5,2111.3987316285)
(43.8,2111.4808667860725)
(44.1,2111.655528316536)
(44.4,2111.7394430768704)
(44.7,2111.965708287632)
(45.0,2112.441481271303)
(45.3,2112.4521036456567)
(45.6,2112.813447936045)
(45.9,2113.149491315783)
(46.2,2113.298483829796)
(46.5,2113.5426083346306)
(46.8,2113.6409914811916)
(47.1,2113.7625343256536)
(47.4,2113.9432377642825)
(47.7,2114.062261516215)
(48.0,2114.183010489935)
(48.3,2114.188558552327)
(48.6,2114.2142433718964)
(48.9,2114.3053056705944)
(49.2,2114.4880633544476)
(49.5,2114.597556239183)
(49.8,2114.754133859234)
(50.1,2114.8746784980194)
(50.4,2114.8893551089977)
(50.7,2115.0133057446615)
(51.0,2115.2065027087247)
(51.3,2115.4806007292605)
(51.6,2115.572769364208)
(51.9,2115.6801198783846)
(52.2,2115.7939190289735)
(52.5,2115.921872311233)
(52.8,2116.1038848788835)
(53.1,2116.1064493619156)
(53.4,2116.196920014772)
(53.7,2116.263706647869)
(54.0,2116.304716148105)
(54.3,2116.4883101868304)
(54.6,2116.527303163489)
(54.9,2116.6202626311483)
(55.2,2116.6254213566503)
(55.5,2116.677567351982)
(55.8,2116.7177037163237)
(56.1,2116.853993481311)
(56.4,2116.901842927142)
(56.7,2116.910445570196)
(57.0,2116.9292891242644)
(57.3,2117.074431127615)
(57.6,2117.2851352258044)
(57.9,2117.338330588611)
(58.2,2117.3754191414673)
(58.5,2117.563937042352)
(58.8,2117.563937042352)
(59.1,2117.575645997226)
(59.4,2117.625951112481)
(59.7,2117.7077197583044)
(60.0,2117.7457065176636)
